image,BPP,PSNR,LPIPS
img_0000.png,0.0228424072265625,20.02935345217115,0.17503727972507477
img_0001.png,0.0228424072265625,22.86854113750147,0.2087186574935913
img_0002.png,0.0228424072265625,24.976926471546523,0.1335567831993103
img_0003.png,0.0228424072265625,19.82639280330028,0.3028884530067444
img_0004.png,0.0228424072265625,27.22583619303485,0.2707896828651428
img_0005.png,0.0228424072265625,17.245732507065373,0.22377948462963104
img_0006.png,0.0228424072265625,14.883677218487312,0.4087054431438446
img_0007.png,0.0228424072265625,22.763471274875965,0.18565967679023743
img_0008.png,0.0228424072265625,21.078569015355594,0.3832327127456665
img_0009.png,0.0228424072265625,27.311504590746264,0.05505448207259178
img_0010.png,0.0228424072265625,23.095107330492773,0.21720051765441895
img_0011.png,0.0228424072265625,23.54542122623046,0.10937072336673737
img_0012.png,0.0228424072265625,27.38759173358609,0.1944180279970169
img_0013.png,0.0228424072265625,31.243722402052434,0.07437717169523239
img_0014.png,0.0228424072265625,25.338393999658905,0.20842638611793518
img_0015.png,0.0228424072265625,21.12352804688291,0.20505830645561218
img_0016.png,0.0228424072265625,28.89956572140632,0.14846201241016388
img_0017.png,0.0228424072265625,17.80771821372543,0.2598245143890381
img_0018.png,0.0228424072265625,17.942872935868643,0.4855017066001892
img_0019.png,0.0228424072265625,20.53730595150043,0.2700013518333435
